"Time","Radiance (high res)"
1622048160000,24.1
1622048280000,24.1
1622048400000,24.1
1622048520000,24.1
1622048640000,24.1
1622048760000,24.1
1622048880000,24.1
1622049000000,24.1
1622049120000,24.1
1622049240000,24.1
1622049360000,24.1
1622049480000,24.1
1622049600000,24.1
1622049720000,24.1
1622049840000,24.1
1622049960000,24.1
1622050080000,24.1
1622050200000,24.1
1622050320000,24.1
1622050440000,24
1622050560000,24
1622050680000,24
1622050800000,24
1622050920000,24
1622051040000,24
1622051160000,24
1622051280000,24
1622051400000,24
1622051520000,23.9
1622051640000,23.9
1622051760000,23.9
1622051880000,23.9
1622052000000,23.9
1622052120000,23.9
1622052240000,23.9
1622052360000,23.9
1622052480000,23.9
1622052600000,23.9
1622052720000,23.8
1622052840000,23.8
1622052960000,23.8
1622053080000,23.8
1622053200000,23.8
1622053320000,23.8
1622053440000,23.8
1622053560000,23.8
1622053680000,23.8
1622053800000,23.8
1622053920000,23.8
1622054040000,23.8
1622054160000,23.8
1622054280000,23.7
1622054400000,23.7
1622054520000,23.7
1622054640000,23.7
1622054760000,23.7
1622054880000,23.7
1622055000000,23.7
1622055120000,23.7
1622055240000,23.7
1622055360000,23.7
1622055480000,23.7
1622055600000,23.7
1622055720000,23.7
1622055840000,23.7
1622055960000,23.7
1622056080000,23.7
1622056200000,23.7
1622056320000,23.7
1622056440000,23.7
1622056560000,23.7
1622056680000,23.6
1622056800000,23.6
1622056920000,23.6
1622057040000,23.6
1622057160000,23.6
1622057280000,23.6
1622057400000,23.6
1622057520000,23.6
1622057640000,23.6
1622057760000,23.6
1622057880000,23.5
1622058000000,23.5
1622058120000,23.5
1622058240000,23.5
1622058360000,23.5
1622058480000,23.5
1622058600000,23.4
1622058720000,23.4
1622058840000,23.4
1622058960000,23.4
1622059080000,23.4
1622059200000,23.4
1622059320000,23.4
1622059440000,23.4
1622059560000,23.4
1622059680000,23.4
1622059800000,23.4
1622059920000,23.4
1622060040000,23.4
1622060160000,23.3
1622060280000,23.3
1622060400000,23.3
1622060520000,23.3
1622060640000,23.3
1622060760000,23.3
1622060880000,23.3
1622061000000,23.3
1622061120000,23.3
1622061240000,23.3
1622061360000,23.3
1622061480000,23.3
1622061600000,23.3
1622061720000,23.3
1622061840000,23.3
1622061960000,23.3
1622062080000,23.3
1622062200000,23.2
1622062320000,23.2
1622062440000,23.2
1622062560000,23.2
1622062680000,23.2
1622062800000,23.2
1622062920000,23.2
1622063040000,23.2
1622063160000,23.2
1622063280000,23.2
1622063400000,23.2
1622063520000,23.2
1622063640000,23.2
1622063760000,23.1
1622063880000,23.1
1622064000000,23.1
1622064120000,23.1
1622064240000,23.1
1622064360000,23.1
1622064480000,23.1
1622064600000,23.1
1622064720000,23.1
1622064840000,23.1
1622064960000,23.1
